problemName,numCustomers,totalTime_our,ofv_our,waitingTruck_our,waitingUAV_our,numUAVcust_our,numTruckCust_our,totalTime_their,ofv_their,waitingTruck_their,waitingUAV_their,numUAVcust_their,numTruckCust_their,matchType,totalTime_diff_our_minus_their,totalTime_diff_their_minus_our,totalTime_our_improvement_percent,ofv_diff_our_minus_their,ofv_diff_their_minus_our,ofv_our_improvement_percent,waitingTruck_diff_our_minus_their,waitingTruck_diff_their_minus_our,waitingTruck_our_improvement_percent,waitingUAV_diff_our_minus_their,waitingUAV_diff_their_minus_our,waitingUAV_our_improvement_percent,numUAVcust_diff_our_minus_their,numUAVcust_diff_their_minus_our,numTruckCust_diff_our_minus_their,numTruckCust_diff_their_minus_our,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner
20170608T121949065533,8,0.002877,1012.037552,81.131873,108.845532,6,2,0.155971,827.760374,510.0,1483.817254,7,1,problemName_numCustomers,-0.153094,0.153094,98.15542632925353,184.27717800000005,-184.27717800000005,-22.26214056484903,-428.868127,428.868127,84.09178960784314,-1374.971722,1374.971722,92.6644920925013,-1,1,1,-1,our,their,our,our,their,their
20170608T121956644648,8,0.003098,1241.73203,100.478092,174.280909,5,3,0.097053,1111.253938,390.0,422.82469,5,3,problemName_numCustomers,-0.093955,0.093955,96.80792968790249,130.47809199999983,-130.47809199999983,-11.741518975836449,-289.521908,289.521908,74.23638666666666,-248.54378099999997,248.54378099999997,58.78175680800475,0,0,0,0,our,their,our,our,tie,tie
20170608T122000657532,8,0.041154,1171.684698,240.0,105.425434,3,5,0.065715,1164.696902,270.0,843.593463,3,5,problemName_numCustomers,-0.024560999999999993,0.024560999999999993,37.37502853229856,6.987796000000117,-6.987796000000117,-0.5999669088155708,-30.0,30.0,11.11111111111111,-738.168029,738.168029,87.5028152037731,0,0,0,0,our,their,our,our,tie,tie
20170608T122004631179,8,0.002948,1215.167846,0.0,193.27321,4,4,0.149546,1148.451832,360.0,564.856862,5,3,problemName_numCustomers,-0.146598,0.146598,98.02870019926978,66.71601400000009,-66.71601400000009,-5.809213076339112,-360.0,360.0,100.0,-371.583652,371.583652,65.78368379633848,-1,1,1,-1,our,their,our,our,their,their
20170608T122008595748,8,0.017399,1431.804374,-0.0,0.0,0,8,0.030248,1431.804374,0.0,0.0,0,8,problemName_numCustomers,-0.012849,0.012849,42.478841576302564,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,,0,0,0,0,our,tie,tie,tie,tie,tie
20170608T122012790213,8,0.041765,1198.046574,180.0,144.53434,2,6,0.131394,1196.111185,360.0,856.341982,4,4,problemName_numCustomers,-0.08962900000000001,0.08962900000000001,68.2139214880436,1.9353889999999865,-1.9353889999999865,-0.16180678052935243,-180.0,180.0,50.0,-711.807642,711.807642,83.12189019830164,-2,2,2,-2,our,their,our,our,their,their
20170608T122016762729,8,0.017117,1389.862327,150.0,135.108356,2,6,0.029819,1389.862327,150.0,165.108356,2,6,problemName_numCustomers,-0.012701999999999998,0.012701999999999998,42.597001911532914,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,30.0,18.169885962646255,0,0,0,0,our,tie,tie,our,tie,tie
20170608T122020812277,8,0.002819,1387.068185,29.30416,103.497138,4,4,0.027996,1393.89999,240.0,238.343448,3,5,problemName_numCustomers,-0.025177,0.025177,89.9307043863409,-6.831804999999804,6.831804999999804,0.4901216047788195,-210.69584,210.69584,87.78993333333334,-134.84631,134.84631,56.57647027074979,1,-1,-1,1,our,our,our,our,our,our
20170608T131251001523,8,0.003576,5296.706142,0.0,1047.828965,2,6,0.106403,3411.795119,1014.582965,1203.26562,6,2,problemName_numCustomers,-0.102827,0.102827,96.63919250397076,1884.9110230000001,-1884.9110230000001,-55.24689957210763,-1014.582965,1014.582965,100.0,-155.43665499999997,155.43665499999997,12.917900454930308,-4,4,4,-4,our,their,our,our,their,their
20170608T131306913055,8,0.042171,1131.420444,240.0,118.474799,3,5,0.061477,1098.861271,480.0,579.307962,6,2,problemName_numCustomers,-0.019305999999999997,0.019305999999999997,31.403614359841885,32.5591730000001,-32.5591730000001,-2.962992131879412,-240.0,240.0,50.0,-460.83316299999996,460.83316299999996,79.54890891004187,-3,3,3,-3,our,their,our,our,their,their
